date,sku,store,unit_price,sales,demand_realized,on_hand,lead_time_days,safety_stock,reorder_point,year,month,dayofweek
2023-01-01,SKU_001,WH_Main,160.33,46,46,421,12,30,510,2023,1,6
2023-01-02,SKU_001,WH_Main,160.33,28,28,393,10,29,429,2023,1,0
2023-01-03,SKU_001,WH_Main,160.33,41,41,352,17,39,719,2023,1,1
2023-01-04,SKU_001,WH_Main,160.33,45,45,923,11,34,474,2023,1,2
2023-01-05,SKU_001,WH_Main,160.33,37,37,886,13,41,561,2023,1,3
2023-01-06,SKU_001,WH_Main,160.33,42,42,844,18,43,763,2023,1,4
2023-01-07,SKU_001,WH_Main,160.33,40,40,804,16,40,680,2023,1,5
2023-01-08,SKU_001,WH_Main,160.33,38,38,766,6,27,267,2023,1,6
2023-01-09,SKU_001,WH_Main,160.33,41,41,725,13,39,559,2023,1,0
2023-01-10,SKU_001,WH_Main,160.33,42,42,683,13,33,553,2023,1,1
2023-01-11,SKU_001,WH_Main,160.33,41,41,642,13,37,557,2023,1,2
2023-01-12,SKU_001,WH_Main,160.33,36,36,1750,17,42,722,2023,1,3
2023-01-13,SKU_001,WH_Main,160.33,42,42,1708,19,42,802,2023,1,4
2023-01-14,SKU_001,WH_Main,160.33,37,37,1671,18,45,765,2023,1,5
2023-01-15,SKU_001,WH_Main,160.33,61,61,1610,12,33,513,2023,1,6
2023-01-16,SKU_001,WH_Main,160.33,46,46,1564,9,34,394,2023,1,0
2023-01-17,SKU_001,WH_Main,160.33,36,36,1528,10,28,428,2023,1,1
2023-01-18,SKU_001,WH_Main,160.33,45,45,1483,16,39,679,2023,1,2
2023-01-19,SKU_001,WH_Main,160.33,39,39,1444,12,37,517,2023,1,3
2023-01-20,SKU_001,WH_Main,160.33,47,47,1397,7,26,306,2023,1,4
2023-01-21,SKU_001,WH_Main,160.33,48,48,1349,16,39,679,2023,1,5
2023-01-22,SKU_001,WH_Main,160.33,42,42,1307,14,44,604,2023,1,6
2023-01-23,SKU_001,WH_Main,160.33,41,41,1266,12,34,514,2023,1,0
2023-01-24,SKU_001,WH_Main,160.33,40,40,1226,16,43,683,2023,1,1
2023-01-25,SKU_001,WH_Main,160.33,41,41,1185,9,35,395,2023,1,2
2023-01-26,SKU_001,WH_Main,160.33,43,43,1142,16,45,685,2023,1,3
2023-01-27,SKU_001,WH_Main,160.33,53,53,1089,15,40,640,2023,1,4
2023-01-28,SKU_001,WH_Main,160.33,53,53,1036,7,26,306,2023,1,5
2023-01-29,SKU_001,WH_Main,160.33,54,54,982,15,36,636,2023,1,6
2023-01-30,SKU_001,WH_Main,160.33,40,40,942,11,35,475,2023,1,0
2023-01-31,SKU_001,WH_Main,160.33,43,43,899,14,41,601,2023,1,1
2023-02-01,SKU_001,WH_Main,160.33,49,49,850,20,46,846,2023,2,2
2023-02-02,SKU_001,WH_Main,160.33,32,32,818,15,39,639,2023,2,3
2023-02-03,SKU_001,WH_Main,160.33,43,43,775,12,40,520,2023,2,4
2023-02-04,SKU_001,WH_Main,160.33,45,45,730,18,46,766,2023,2,5
2023-02-05,SKU_001,WH_Main,160.33,59,59,671,15,41,641,2023,2,6
2023-02-06,SKU_001,WH_Main,160.33,45,45,626,10,33,433,2023,2,0
2023-02-07,SKU_001,WH_Main,160.33,47,47,579,14,31,591,2023,2,1
2023-02-08,SKU_001,WH_Main,160.33,45,45,534,14,41,601,2023,2,2
2023-02-09,SKU_001,WH_Main,160.33,56,56,478,13,38,558,2023,2,3
2023-02-10,SKU_001,WH_Main,160.33,50,50,428,13,36,556,2023,2,4
2023-02-11,SKU_001,WH_Main,160.33,40,40,388,16,40,680,2023,2,5
2023-02-12,SKU_001,WH_Main,160.33,57,57,331,13,37,557,2023,2,6
2023-02-13,SKU_001,WH_Main,160.33,48,48,283,14,39,599,2023,2,0
2023-02-14,SKU_001,WH_Main,160.33,47,47,236,9,33,393,2023,2,1
2023-02-15,SKU_001,WH_Main,160.33,46,46,190,12,36,516,2023,2,2
2023-02-16,SKU_001,WH_Main,160.33,43,43,147,9,34,394,2023,2,3
2023-02-17,SKU_001,WH_Main,160.33,43,43,104,19,46,806,2023,2,4
2023-02-18,SKU_001,WH_Main,160.33,46,46,58,14,42,602,2023,2,5
2023-02-19,SKU_001,WH_Main,160.33,48,48,10,15,42,642,2023,2,6
2023-02-20,SKU_001,WH_Main,160.33,10,37,0,12,33,513,2023,2,0
2023-02-21,SKU_001,WH_Main,160.33,0,58,0,13,34,554,2023,2,1
2023-02-22,SKU_001,WH_Main,160.33,0,40,0,9,33,393,2023,2,2
2023-02-23,SKU_001,WH_Main,160.33,0,42,0,14,44,604,2023,2,3
2023-02-24,SKU_001,WH_Main,160.33,0,57,0,15,43,643,2023,2,4
2023-02-25,SKU_001,WH_Main,160.33,0,55,888,9,33,393,2023,2,5
2023-02-26,SKU_001,WH_Main,160.33,42,42,846,11,34,474,2023,2,6
2023-02-27,SKU_001,WH_Main,160.33,46,46,800,10,29,429,2023,2,0
2023-02-28,SKU_001,WH_Main,160.33,49,49,751,6,25,265,2023,2,1
2023-03-01,SKU_001,WH_Main,160.33,60,60,691,14,38,598,2023,3,2
2023-03-02,SKU_001,WH_Main,160.33,42,42,649,16,38,678,2023,3,3
2023-03-03,SKU_001,WH_Main,160.33,42,42,607,14,40,600,2023,3,4
2023-03-04,SKU_001,WH_Main,160.33,49,49,558,15,37,637,2023,3,5
2023-03-05,SKU_001,WH_Main,160.33,46,46,512,12,35,515,2023,3,6
2023-03-06,SKU_001,WH_Main,160.33,45,45,467,14,39,599,2023,3,0
2023-03-07,SKU_001,WH_Main,160.33,52,52,415,8,29,349,2023,3,1
2023-03-08,SKU_001,WH_Main,160.33,51,51,364,16,43,683,2023,3,2
2023-03-09,SKU_001,WH_Main,160.33,49,49,315,7,24,304,2023,3,3
2023-03-10,SKU_001,WH_Main,160.33,45,45,270,11,37,477,2023,3,4
2023-03-11,SKU_001,WH_Main,160.33,56,56,214,11,36,476,2023,3,5
2023-03-12,SKU_001,WH_Main,160.33,62,62,152,10,29,429,2023,3,6
